stop_loss_pct,take_profit_pct,win_rate,avg_profit,total_profit,max_profit,max_loss,stop_loss_hit_rate,take_profit_hit_rate,hold_rate,avg_bars_held,n_tests
-9.0,25.0,48.3,4.580746182669359,4580.746182669359,24.737500000000022,-9.245500000000003,38.3,32.0,29.7,337.887,1000
-7.0,29.5,42.9,4.58015907887381,4580.159078873809,29.235250000000025,-7.246500000000017,48.3,25.4,26.3,315.987,1000
-8.5,25.0,47.8,4.541144968618394,4541.144968618393,24.737500000000022,-8.745750000000005,40.400000000000006,31.5,28.1,328.569,1000
-7.5,28.0,44.800000000000004,4.5270599159613925,4527.059915961392,27.73600000000003,-7.746250000000007,45.6,26.900000000000002,27.500000000000004,322.129,1000
-9.0,24.5,48.3,4.524187074305149,4524.1870743051495,24.23775000000004,-9.245500000000003,38.3,32.7,28.999999999999996,332.854,1000
-10.0,23.5,49.5,4.514004818168925,4514.004818168925,23.23825000000002,-10.245000000000008,33.5,34.699999999999996,31.8,343.939,1000
-6.5,30.0,41.4,4.50544493532396,4505.444935323961,29.735000000000035,-6.746750000000007,50.5,24.3,25.2,308.228,1000
-8.0,27.0,46.300000000000004,4.488954028387449,4488.954028387449,26.736500000000035,-8.246000000000006,43.3,28.199999999999996,28.499999999999996,327.431,1000
-8.5,24.5,47.8,4.4870846102541835,4487.084610254184,24.23775000000004,-8.745750000000005,40.400000000000006,32.2,27.400000000000002,323.575,1000
-7.0,29.0,42.9,4.473007590694443,4473.007590694443,28.735500000000037,-7.246500000000017,48.3,25.5,26.200000000000003,314.368,1000
-9.5,24.0,48.8,4.452039681602801,4452.039681602801,23.738000000000028,-9.745250000000004,36.1,33.4,30.5,339.969,1000
-8.0,26.5,46.300000000000004,4.410773812316779,4410.773812316779,26.236750000000043,-8.246000000000006,43.3,28.599999999999998,28.1,324.615,1000
-7.5,27.5,44.800000000000004,4.4103693625464,4410.3693625464,27.23625000000002,-7.746250000000007,45.6,27.0,27.400000000000002,319.203,1000
-10.0,23.0,49.5,4.398363796990618,4398.3637969906185,22.738500000000027,-10.245000000000008,33.5,35.0,31.5,339.903,1000
-9.0,24.0,48.3,4.389688320264564,4389.688320264564,23.738000000000028,-9.245500000000003,38.3,32.9,28.799999999999997,330.494,1000
-9.5,23.5,48.8,4.387948942686867,4387.948942686867,23.23825000000002,-9.745250000000004,36.1,34.0,29.9,335.583,1000
-6.5,29.5,41.4,4.384005685323959,4384.0056853239585,29.235250000000025,-6.746750000000007,50.5,24.3,25.2,305.711,1000
-7.0,28.5,42.9,4.365382191653942,4365.382191653942,28.23575000000002,-7.246500000000017,48.3,25.6,26.1,311.866,1000
-8.5,24.0,47.8,4.355084606213599,4355.084606213599,23.738000000000028,-8.745750000000005,40.400000000000006,32.4,27.200000000000003,321.26,1000
-8.0,26.0,46.300000000000004,4.3356700594473185,4335.670059447319,25.737000000000027,-8.246000000000006,43.3,28.999999999999996,27.700000000000003,321.588,1000
-9.0,23.5,48.3,4.328096331348631,4328.096331348631,23.23825000000002,-9.245500000000003,38.3,33.5,28.199999999999996,326.109,1000
-7.5,27.0,44.800000000000004,4.30092103078951,4300.92103078951,26.736500000000035,-7.746250000000007,45.6,27.200000000000003,27.200000000000003,315.99,1000
-10.0,22.5,49.5,4.296944076593672,4296.9440765936715,22.23875000000004,-10.245000000000008,33.5,35.5,31.0,336.901,1000
-8.5,23.5,47.8,4.295991367297665,4295.991367297665,23.23825000000002,-8.745750000000005,40.400000000000006,33.0,26.6,316.925,1000
-6.5,29.0,41.4,4.282351447144592,4282.3514471445915,28.735500000000037,-6.746750000000007,50.5,24.4,25.1,304.177,1000
-8.0,25.5,46.300000000000004,4.27788866985234,4277.88866985234,25.237250000000024,-8.246000000000006,43.3,29.5,27.200000000000003,317.294,1000
-9.5,23.0,48.8,4.27580617150856,4275.80617150856,22.738500000000027,-9.745250000000004,36.1,34.300000000000004,29.599999999999998,331.563,1000
-7.0,28.0,42.9,4.257215318702361,4257.2153187023605,27.73600000000003,-7.246500000000017,48.3,25.7,26.0,309.084,1000
-6.0,30.0,39.6,4.250249317595534,4250.249317595534,29.735000000000035,-6.2470000000000185,53.300000000000004,23.1,23.599999999999998,294.568,1000
-8.0,25.0,46.300000000000004,4.241658972326399,4241.658972326399,24.737500000000022,-8.246000000000006,43.3,30.2,26.5,313.594,1000
-7.5,26.5,44.800000000000004,4.227738314718839,4227.738314718839,26.236750000000043,-7.746250000000007,45.6,27.6,26.8,313.183,1000
-9.0,23.0,48.3,4.218452310170323,4218.4523101703235,22.738500000000027,-9.245500000000003,38.3,33.800000000000004,27.900000000000002,322.187,1000
-8.0,24.5,46.300000000000004,4.194095363962189,4194.095363962189,24.23775000000004,-8.246000000000006,43.3,30.9,25.8,308.717,1000
-5.5,30.0,38.3,4.1896515540424,4189.6515540424,29.735000000000035,-5.747250000000014,55.300000000000004,22.3,22.400000000000002,282.779,1000
-8.5,23.0,47.8,4.188846096119358,4188.846096119358,22.738500000000027,-8.745750000000005,40.400000000000006,33.300000000000004,26.3,313.059,1000
-10.0,22.0,49.5,4.186318097195142,4186.3180971951415,21.739000000000026,-10.245000000000008,33.5,36.0,30.5,333.053,1000
-6.5,28.5,41.4,4.18022329810409,4180.22329810409,28.23575000000002,-6.746750000000007,50.5,24.5,25.0,301.679,1000
-9.5,22.5,48.8,4.177884701111612,4177.884701111612,22.23875000000004,-9.745250000000004,36.1,34.8,29.099999999999998,328.673,1000
-7.5,26.0,44.800000000000004,4.15763206184938,4157.63206184938,25.737000000000027,-7.746250000000007,45.6,28.000000000000004,26.400000000000002,310.232,1000
-10.0,21.5,49.5,4.151840819332268,4151.8408193322675,21.239250000000037,-10.245000000000008,33.5,36.9,29.599999999999998,327.917,1000
-7.0,27.5,42.9,4.1465217652873685,4146.521765287369,27.23625000000002,-7.246500000000017,48.3,25.8,25.900000000000002,306.175,1000
-6.0,29.5,39.6,4.134807067595531,4134.807067595531,29.235250000000025,-6.2470000000000185,53.300000000000004,23.1,23.599999999999998,292.297,1000
-9.0,22.5,48.3,4.123029589773376,4123.029589773376,22.23875000000004,-9.245500000000003,38.3,34.300000000000004,27.400000000000002,319.3,1000
-7.5,25.5,44.800000000000004,4.104848172254401,4104.8481722544,25.237250000000024,-7.746250000000007,45.6,28.499999999999996,25.900000000000002,305.965,1000
-8.5,22.5,47.8,4.09592212572241,4095.9221257224103,22.23875000000004,-8.745750000000005,40.400000000000006,33.800000000000004,25.8,310.21,1000
-5.5,29.5,38.3,4.078207304042398,4078.2073040423984,29.235250000000025,-5.747250000000014,55.300000000000004,22.3,22.400000000000002,280.536,1000
-6.5,28.0,41.4,4.077553675152509,4077.5536751525087,27.73600000000003,-6.746750000000007,50.5,24.6,24.9,298.932,1000
-7.5,25.0,44.800000000000004,4.07361597472846,4073.6159747284596,24.737500000000022,-7.746250000000007,45.6,29.2,25.2,302.348,1000
-9.5,22.0,48.8,4.070756971713083,4070.7569717130823,21.739000000000026,-9.745250000000004,36.1,35.3,28.599999999999998,324.847,1000
-8.0,24.0,46.300000000000004,4.068592109921604,4068.592109921604,23.738000000000028,-8.246000000000006,43.3,31.1,25.6,306.5,1000
-10.0,21.0,49.5,4.059173104018642,4059.173104018642,20.739500000000024,-10.245000000000008,33.5,37.5,28.999999999999996,323.412,1000
-7.0,27.0,42.9,4.043070433530478,4043.070433530478,26.736500000000035,-7.246500000000017,48.3,26.0,25.7,303.004,1000
-9.5,21.5,48.8,4.039777943850209,4039.777943850209,21.239250000000037,-9.745250000000004,36.1,36.199999999999996,27.700000000000003,319.718,1000
-6.0,29.0,39.6,4.039149829416165,4039.149829416165,28.735500000000037,-6.2470000000000185,53.300000000000004,23.200000000000003,23.5,290.778,1000
-7.5,24.5,44.800000000000004,4.031049866364251,4031.0498663642506,24.23775000000004,-7.746250000000007,45.6,29.9,24.5,297.524,1000
-9.0,22.0,48.3,4.018400610374846,4018.400610374846,21.739000000000026,-9.245500000000003,38.3,34.8,26.900000000000002,315.478,1000
-8.0,23.5,46.300000000000004,4.01599562100567,4015.9956210056703,23.23825000000002,-8.246000000000006,43.3,31.7,25.0,302.351,1000
-8.5,22.0,47.8,3.9937918963238803,3993.7918963238803,21.739000000000026,-8.745750000000005,40.400000000000006,34.300000000000004,25.3,306.399,1000
-9.0,21.5,48.3,3.9899203325119714,3989.9203325119715,21.239250000000037,-9.245500000000003,38.3,35.699999999999996,26.0,310.381,1000
-5.5,29.0,38.3,3.9865480658630315,3986.5480658630313,28.735500000000037,-5.747250000000014,55.300000000000004,22.400000000000002,22.3,279.02,1000
-10.0,20.5,49.5,3.978214447846675,3978.2144478466753,20.239750000000036,-10.245000000000008,33.5,38.2,28.299999999999997,318.784,1000
-7.0,26.5,42.9,3.9758847174598086,3975.8847174598086,26.236750000000043,-7.246500000000017,48.3,26.400000000000002,25.3,300.201,1000
-6.5,27.5,41.4,3.972357371737518,3972.357371737518,27.23625000000002,-6.746750000000007,50.5,24.7,24.8,296.104,1000
-8.5,21.5,47.8,3.9678103684610053,3967.8103684610055,21.239250000000037,-8.745750000000005,40.400000000000006,35.199999999999996,24.4,301.318,1000
-9.5,21.0,48.8,3.9506084785365836,3950.608478536584,20.739500000000024,-9.745250000000004,36.1,36.8,27.1,315.237,1000
-6.0,28.5,39.6,3.943018680375664,3943.018680375664,28.23575000000002,-6.2470000000000185,53.300000000000004,23.3,23.400000000000002,288.312,1000
-8.0,23.0,46.300000000000004,3.915347099827363,3915.347099827363,22.738500000000027,-8.246000000000006,43.3,32.0,24.7,298.515,1000
-7.0,26.0,42.9,3.911775464590349,3911.7754645903487,25.737000000000027,-7.246500000000017,48.3,26.8,24.9,297.301,1000
-7.5,24.0,44.800000000000004,3.910544112323665,3910.5441123236646,23.738000000000028,-7.746250000000007,45.6,30.099999999999998,24.3,295.369,1000
